-18.90123256020309	-25
-18.831135782504223	-24
-20.17085106913468	-23
-20.48062474570847	-22
-17.794897133311817	-21
-17.003409770354256	-20
-16.025285662779932	-19
-15.101054197608832	-18
-14.25618680066697	-17
-13.698893378038148	-16
-13.253338029780346	-15
-12.31901574332089	-14
-11.613745246820377	-13
-10.591256105102248	-12
-9.817972040109634	-11
-9.03601493793604	-10
-8.34018696597678	-9
-6.993667603575326	-8
-6.060952209394184	-7
-5.236156753524372	-6
-4.214620397645306	-5
-3.2740523044905556	-4
-2.355938191976623	-3
-1.3953626265831962	-2
-0.40859599311810685	-1
0.5225696486387492	0
1.4170530399962795	1
2.503812515787801	2
3.2978705551699536	3
4.260009768604703	4
4.884867114327669	5
6.072900974955985	6
6.957759142220536	7
8.125998260146083	8
8.435673945594754	9
9.926927879537306	10
10.238598094214694	11
11.194567382374936	12
13.220317108268972	13
13.298935497706983	14
13.996901673572152	15
15.094631839376246	16
16.13639812088639	17
18.264974432680805	18
17.737677114191268	19
19.0073603832177	20
19.57323660986926	21
20.57180671361995	22
22.005534119448228	23
22.897874647110985	24
